"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	21483	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	113722	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	135363	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	2525	Unreliable
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	0	177250	Unreliable
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1122472	Suppressed
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	602951	Suppressed
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	9403	Unreliable
	"1999"	"1999"	"Black or African American"	"2054-5"	"Georgia"	"13"	15	2343624	Unreliable
	"1999"	"1999"	"Black or African American"	"2054-5"	"New York"	"36"	19	3410768	Unreliable
	"1999"	"1999"	"Black or African American"	"2054-5"	"Texas"	"48"	10	2461293	Unreliable
	"1999"	"1999"	"Black or African American"	"2054-5"	"West Virginia"	"54"	Suppressed	59775	Suppressed
	"1999"	"1999"	"White"	"2106-3"	"Georgia"	"13"	11	5503608	Unreliable
	"1999"	"1999"	"White"	"2106-3"	"New York"	"36"	16	14235763	Unreliable
	"1999"	"1999"	"White"	"2106-3"	"Texas"	"48"	21	17358613	0.12
	"1999"	"1999"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1740096	Suppressed
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	26783	Unreliable
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	120355	Unreliable
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	152111	Unreliable
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3927	Unreliable
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	192400	Suppressed
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1157977	Suppressed
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	0	634472	Unreliable
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	10619	Unreliable
	"2000"	"2000"	"Black or African American"	"2054-5"	"Georgia"	"13"	10	2395234	Unreliable
	"2000"	"2000"	"Black or African American"	"2054-5"	"New York"	"36"	13	3434584	Unreliable
	"2000"	"2000"	"Black or African American"	"2054-5"	"Texas"	"48"	Suppressed	2489759	Suppressed
	"2000"	"2000"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	60889	Unreliable
	"2000"	"2000"	"White"	"2106-3"	"Georgia"	"13"	10	5572036	Unreliable
	"2000"	"2000"	"White"	"2106-3"	"New York"	"36"	Suppressed	14263541	Suppressed
	"2000"	"2000"	"White"	"2106-3"	"Texas"	"48"	23	17575478	0.13
	"2000"	"2000"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1732909	Suppressed
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	29086	Unreliable
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	130396	Unreliable
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	161234	Unreliable
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3775	Unreliable
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	211322	Suppressed
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	0	1213384	Unreliable
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	684712	Suppressed
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	11057	Unreliable
	"2001"	"2001"	"Black or African American"	"2054-5"	"Georgia"	"13"	26	2468186	1.05
	"2001"	"2001"	"Black or African American"	"2054-5"	"New York"	"36"	22	3457658	0.64
	"2001"	"2001"	"Black or African American"	"2054-5"	"Texas"	"48"	11	2551645	Unreliable
	"2001"	"2001"	"Black or African American"	"2054-5"	"West Virginia"	"54"	Suppressed	61171	Suppressed
	"2001"	"2001"	"White"	"2106-3"	"Georgia"	"13"	13	5668444	Unreliable
	"2001"	"2001"	"White"	"2106-3"	"New York"	"36"	19	14281400	Unreliable
	"2001"	"2001"	"White"	"2106-3"	"Texas"	"48"	27	17922031	0.15
	"2001"	"2001"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1725478	Suppressed
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	31629	Unreliable
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	139242	Unreliable
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	169564	Unreliable
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3820	Unreliable
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	0	226700	Unreliable
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	0	1255048	Unreliable
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	726265	Suppressed
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	11346	Unreliable
	"2002"	"2002"	"Black or African American"	"2054-5"	"Georgia"	"13"	15	2522522	Unreliable
	"2002"	"2002"	"Black or African American"	"2054-5"	"New York"	"36"	13	3467250	Unreliable
	"2002"	"2002"	"Black or African American"	"2054-5"	"Texas"	"48"	12	2602237	Unreliable
	"2002"	"2002"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	61832	Unreliable
	"2002"	"2002"	"White"	"2106-3"	"Georgia"	"13"	10	5727405	Unreliable
	"2002"	"2002"	"White"	"2106-3"	"New York"	"36"	13	14276260	Unreliable
	"2002"	"2002"	"White"	"2106-3"	"Texas"	"48"	21	18192259	0.12
	"2002"	"2002"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1728416	Suppressed
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	Suppressed	33967	Suppressed
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	147941	Unreliable
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	Suppressed	178367	Suppressed
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3818	Unreliable
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	240749	Suppressed
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1293519	Suppressed
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	764885	Suppressed
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	11827	Unreliable
	"2003"	"2003"	"Black or African American"	"2054-5"	"Georgia"	"13"	21	2571491	0.82
	"2003"	"2003"	"Black or African American"	"2054-5"	"New York"	"36"	28	3471007	0.81
	"2003"	"2003"	"Black or African American"	"2054-5"	"Texas"	"48"	14	2646739	Unreliable
	"2003"	"2003"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	62866	Unreliable
	"2003"	"2003"	"White"	"2106-3"	"Georgia"	"13"	14	5776586	Unreliable
	"2003"	"2003"	"White"	"2106-3"	"New York"	"36"	26	14263472	0.18
	"2003"	"2003"	"White"	"2106-3"	"Texas"	"48"	41	18440940	0.22
	"2003"	"2003"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1733784	Suppressed
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	36528	Unreliable
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	156677	Unreliable
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	188400	Unreliable
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3887	Unreliable
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	256011	Suppressed
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1327853	Suppressed
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	0	802430	Unreliable
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	12299	Unreliable
	"2004"	"2004"	"Black or African American"	"2054-5"	"Georgia"	"13"	14	2635336	Unreliable
	"2004"	"2004"	"Black or African American"	"2054-5"	"New York"	"36"	30	3464246	0.87
	"2004"	"2004"	"Black or African American"	"2054-5"	"Texas"	"48"	16	2697339	Unreliable
	"2004"	"2004"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	63682	Unreliable
	"2004"	"2004"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	5841377	Suppressed
	"2004"	"2004"	"White"	"2106-3"	"New York"	"36"	44	14222791	0.31
	"2004"	"2004"	"White"	"2106-3"	"Texas"	"48"	32	18705854	0.17
	"2004"	"2004"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1736570	Suppressed
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	39047	Unreliable
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	165480	Unreliable
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	199396	Unreliable
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	3961	Unreliable
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	273073	Suppressed
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1362726	Suppressed
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	844072	Suppressed
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	12486	Unreliable
	"2005"	"2005"	"Black or African American"	"2054-5"	"Georgia"	"13"	24	2702396	0.89
	"2005"	"2005"	"Black or African American"	"2054-5"	"New York"	"36"	30	3457681	0.87
	"2005"	"2005"	"Black or African American"	"2054-5"	"Texas"	"48"	19	2753898	Unreliable
	"2005"	"2005"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	64664	Unreliable
	"2005"	"2005"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	5911406	Suppressed
	"2005"	"2005"	"White"	"2106-3"	"New York"	"36"	23	14146723	0.16
	"2005"	"2005"	"White"	"2106-3"	"Texas"	"48"	50	18980757	0.26
	"2005"	"2005"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1739381	Suppressed
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	42276	Unreliable
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	174575	Unreliable
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	Suppressed	212915	Suppressed
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4013	Unreliable
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	0	293130	Unreliable
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	12	1398778	Unreliable
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	895701	Suppressed
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	13028	Unreliable
	"2006"	"2006"	"Black or African American"	"2054-5"	"Georgia"	"13"	18	2805927	Unreliable
	"2006"	"2006"	"Black or African American"	"2054-5"	"New York"	"36"	31	3453892	0.90
	"2006"	"2006"	"Black or African American"	"2054-5"	"Texas"	"48"	30	2904002	1.03
	"2006"	"2006"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	66217	Unreliable
	"2006"	"2006"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	6014480	Suppressed
	"2006"	"2006"	"White"	"2106-3"	"New York"	"36"	25	14077386	0.18
	"2006"	"2006"	"White"	"2106-3"	"Texas"	"48"	58	19346962	0.30
	"2006"	"2006"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1744654	Suppressed
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	45109	Unreliable
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	184130	Unreliable
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	227411	Unreliable
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4090	Unreliable
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	310982	Suppressed
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1439779	Suppressed
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	948153	Suppressed
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	13354	Unreliable
	"2007"	"2007"	"Black or African American"	"2054-5"	"Georgia"	"13"	14	2891925	Unreliable
	"2007"	"2007"	"Black or African American"	"2054-5"	"New York"	"36"	28	3456802	0.81
	"2007"	"2007"	"Black or African American"	"2054-5"	"Texas"	"48"	12	2962118	Unreliable
	"2007"	"2007"	"Black or African American"	"2054-5"	"West Virginia"	"54"	Suppressed	67505	Suppressed
	"2007"	"2007"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	6101972	Suppressed
	"2007"	"2007"	"White"	"2106-3"	"New York"	"36"	18	14051624	Unreliable
	"2007"	"2007"	"White"	"2106-3"	"Texas"	"48"	66	19694301	0.34
	"2007"	"2007"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1749103	Suppressed
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	48540	Unreliable
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	Suppressed	195000	Suppressed
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	243884	Unreliable
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4211	Unreliable
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	0	327759	Unreliable
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1485783	Suppressed
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1000104	Suppressed
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	13671	Unreliable
	"2008"	"2008"	"Black or African American"	"2054-5"	"Georgia"	"13"	16	2962628	Unreliable
	"2008"	"2008"	"Black or African American"	"2054-5"	"New York"	"36"	33	3473867	0.95
	"2008"	"2008"	"Black or African American"	"2054-5"	"Texas"	"48"	21	3027152	0.69
	"2008"	"2008"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	68836	Unreliable
	"2008"	"2008"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	6165916	Suppressed
	"2008"	"2008"	"White"	"2106-3"	"New York"	"36"	33	14057786	0.23
	"2008"	"2008"	"White"	"2106-3"	"Texas"	"48"	73	20037899	0.36
	"2008"	"2008"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1753592	Suppressed
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	51638	Unreliable
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	206557	Unreliable
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	Suppressed	261852	Suppressed
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4260	Unreliable
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	342019	Suppressed
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1529520	Suppressed
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1051726	Suppressed
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	14146	Unreliable
	"2009"	"2009"	"Black or African American"	"2054-5"	"Georgia"	"13"	26	3023009	0.86
	"2009"	"2009"	"Black or African American"	"2054-5"	"New York"	"36"	35	3498751	1.00
	"2009"	"2009"	"Black or African American"	"2054-5"	"Texas"	"48"	36	3101293	1.16
	"2009"	"2009"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	70465	Unreliable
	"2009"	"2009"	"White"	"2106-3"	"Georgia"	"13"	Suppressed	6204180	Suppressed
	"2009"	"2009"	"White"	"2106-3"	"New York"	"36"	31	14072238	0.22
	"2009"	"2009"	"White"	"2106-3"	"Texas"	"48"	86	20386890	0.42
	"2009"	"2009"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1758904	Suppressed
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	Suppressed	54033	Suppressed
